UC San Diego Health Zip Codes,
Employee Zip Code,% Total In Zip Code
85296,0.004%
85323,0.004%
85339,0.004%
85364,0.004%
85381,0.004%
85388,0.004%
85641,0.004%
85650,0.004%
85653,0.004%
85701,0.004%
85710,0.004%
85712,0.004%
85716,0.004%
85741,0.004%
85750,0.004%
86004,0.004%
86323,0.004%
86442,0.004%
87111,0.004%
87505,0.004%
87529,0.004%
87544,0.004%
87801,0.004%
88011,0.004%
89048,0.004%
89074,0.004%
89084,0.004%
89115,0.004%
89117,0.004%
89118,0.004%
89129,0.004%
89135,0.004%
89139,0.004%
89144,0.004%
89178,0.004%
89183,0.004%
89434,0.004%
89436,0.004%
89460,0.004%
89503,0.004%
90000,0.004%
90006,0.004%
90011,0.004%
90012,0.004%
90013,0.004%
90015,0.004%
90017,0.004%
90020,0.004%
90022,0.004%
90025,0.004%
90026,0.004%
90031,0.004%
90032,0.004%
90038,0.004%
90039,0.004%
90040,0.004%
90041,0.004%
90044,0.004%
90046,0.004%
90065,0.004%
90066,0.004%
90077,0.004%
90201,0.004%
90212,0.004%
90220,0.004%
90232,0.004%
90245,0.004%
90247,0.004%
90249,0.004%
90250,0.004%
90260,0.004%
90272,0.004%
90280,0.004%
90291,0.004%
90292,0.004%
90405,0.004%
90502,0.004%
90503,0.004%
90505,0.004%
90604,0.004%
90621,0.004%
90623,0.004%
90625,0.004%
90638,0.004%
90670,0.004%
90680,0.004%
90710,0.004%
90712,0.004%
90713,0.004%
90744,0.004%
90746,0.004%
90802,0.004%
90805,0.004%
90806,0.004%
90810,0.004%
91016,0.004%
91105,0.004%
91201,0.004%
91203,0.004%
91208,0.004%
91214,0.004%
91311,0.004%
91340,0.004%
91350,0.004%
91354,0.004%
91361,0.004%
91362,0.004%
91364,0.004%
91384,0.004%
91401,0.004%
91423,0.004%
91505,0.004%
91601,0.004%
91602,0.004%
91604,0.004%
91708,0.004%
91711,0.004%
91724,0.004%
91737,0.004%
91741,0.004%
91744,0.004%
91748,0.004%
91754,0.004%
91755,0.004%
91764,0.004%
91767,0.004%
91773,0.004%
91776,0.004%
91786,0.004%
91803,0.004%
91908,0.004%
91917,0.004%
91920,0.004%
91933,0.004%
91943,0.004%
91946,0.004%
91979,0.004%
91980,0.004%
92015,0.004%
92016,0.004%
92017,0.004%
92018,0.004%
92030,0.004%
92046,0.004%
92048,0.004%
92052,0.004%
92086,0.004%
92094,0.004%
92134,0.004%
92145,0.004%
92165,0.004%
92170,0.004%
92195,0.004%
92203,0.004%
92225,0.004%
92227,0.004%
92232,0.004%
92233,0.004%
92244,0.004%
92259,0.004%
92262,0.004%
92264,0.004%
92307,0.004%
92308,0.004%
92310,0.004%
92314,0.004%
92319,0.004%
92320,0.004%
92335,0.004%
92337,0.004%
92352,0.004%
92359,0.004%
92376,0.004%
92377,0.004%
92395,0.004%
92404,0.004%
92405,0.004%
92501,0.004%
92504,0.004%
92505,0.004%
92539,0.004%
92570,0.004%
92587,0.004%
92593,0.004%
92614,0.004%
92626,0.004%
92646,0.004%
92653,0.004%
92663,0.004%
92676,0.004%
92703,0.004%
92763,0.004%
92780,0.004%
92801,0.004%
92802,0.004%
92821,0.004%
92843,0.004%
92844,0.004%
92846,0.004%
92861,0.004%
92865,0.004%
92869,0.004%
92870,0.004%
92878,0.004%
92879,0.004%
92902,0.004%
93063,0.004%
93109,0.004%
93117,0.004%
93210,0.004%
93212,0.004%
93240,0.004%
93241,0.004%
93245,0.004%
93263,0.004%
93291,0.004%
93292,0.004%
93304,0.004%
93305,0.004%
93308,0.004%
93311,0.004%
93314,0.004%
93405,0.004%
93420,0.004%
93434,0.004%
93543,0.004%
93611,0.004%
93626,0.004%
93630,0.004%
93635,0.004%
93636,0.004%
93637,0.004%
93638,0.004%
93646,0.004%
93651,0.004%
93654,0.004%
93711,0.004%
93722,0.004%
93723,0.004%
93726,0.004%
93730,0.004%
93906,0.004%
93908,0.004%
93912,0.004%
93927,0.004%
94024,0.004%
94044,0.004%
94063,0.004%
94080,0.004%
94110,0.004%
94114,0.004%
94115,0.004%
94127,0.004%
94133,0.004%
94158,0.004%
94303,0.004%
94304,0.004%
94306,0.004%
94401,0.004%
94502,0.004%
94503,0.004%
94506,0.004%
94509,0.004%
94515,0.004%
94517,0.004%
94518,0.004%
94520,0.004%
94530,0.004%
94531,0.004%
94537,0.004%
94538,0.004%
94541,0.004%
94549,0.004%
94550,0.004%
94551,0.004%
94552,0.004%
94555,0.004%
94558,0.004%
94561,0.004%
94564,0.004%
94568,0.004%
94591,0.004%
94596,0.004%
94605,0.004%
94610,0.004%
94612,0.004%
94703,0.004%
94709,0.004%
94945,0.004%
94952,0.004%
94960,0.004%
95008,0.004%
95033,0.004%
95037,0.004%
95051,0.004%
95054,0.004%
95065,0.004%
95066,0.004%
95120,0.004%
95122,0.004%
95123,0.004%
95128,0.004%
95129,0.004%
95202,0.004%
95204,0.004%
95209,0.004%
95242,0.004%
95304,0.004%
95315,0.004%
95330,0.004%
95340,0.004%
95341,0.004%
95345,0.004%
95348,0.004%
95351,0.004%
95357,0.004%
95380,0.004%
95382,0.004%
95403,0.004%
95404,0.004%
95407,0.004%
95437,0.004%
95448,0.004%
95543,0.004%
95608,0.004%
95616,0.004%
95624,0.004%
95661,0.004%
95667,0.004%
95670,0.004%
95678,0.004%
95687,0.004%
95691,0.004%
95746,0.004%
95758,0.004%
95762,0.004%
95814,0.004%
95819,0.004%
95822,0.004%
95824,0.004%
95826,0.004%
95827,0.004%
95828,0.004%
95833,0.004%
95835,0.004%
95926,0.004%
95928,0.004%
95945,0.004%
95959,0.004%
95969,0.004%
96069,0.004%
96080,0.004%
96114,0.004%
96122,0.004%
96814,0.004%
96913,0.004%
96915,0.004%
97031,0.004%
97035,0.004%
97205,0.004%
97210,0.004%
97212,0.004%
97213,0.004%
97218,0.004%
97225,0.004%
97370,0.004%
97403,0.004%
97408,0.004%
97439,0.004%
97702,0.004%
98004,0.004%
98006,0.004%
98027,0.004%
98033,0.004%
98037,0.004%
98045,0.004%
98056,0.004%
98058,0.004%
98102,0.004%
98103,0.004%
98105,0.004%
98115,0.004%
98121,0.004%
98122,0.004%
98226,0.004%
98231,0.004%
